"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","TMAX","TMIN"
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-14",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-15",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-16",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-18",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-19",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-24","    5","0.44",,,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-25",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-26",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-27",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-28",,,"0.56",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-29",,,"0.03",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-30",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-01",,,"0.86",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-02",,,"0.11",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-03",,,"0.02",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-04",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-05",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-06",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-07",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-08",,,"0.00",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-10",,,"0.00",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-11",,,"0.37",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-12",,,"0.02",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-13",,,"0.82",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-14",,,"0.04","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-16",,,"0.45",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-17",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-18",,,"0.31",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-19",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-20",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-21",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-23",,,"0.26",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-24",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-25",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-26",,,"0.30",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-27",,,"0.48",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-28",,,"0.53",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-29",,,"0.68",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-06-30",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-01",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-02",,,"0.49",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-03",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-04",,,"0.51",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-05",,,"0.52",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-06",,,"0.13",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-07",,,"0.76",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-08",,,"0.09",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-09",,,"0.73",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-10",,,"0.71",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-11",,,"0.50",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-12",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-13",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-14",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-15",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-16",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-17",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-18",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-19",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-20",,,"3.50",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-21",,,"0.03",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-22",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-23",,,"0.37",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-24",,,"0.00",,,
